Date,jour,heur,follower
2023-04-07 11:39:00.311574,2023-04-07,11:39,1158
2023-04-07 11:39:01.114914,2023-04-07,11:39,1158
2023-04-07 11:39:02.207795,2023-04-07,11:39,1158
2023-04-07 11:39:03.416902,2023-04-07,11:39,1158
2023-04-07 11:39:04.426188,2023-04-07,11:39,1158
2023-04-07 11:39:05.527255,2023-04-07,11:39,1158
2023-04-07 11:39:06.492565,2023-04-07,11:39,1158
2023-04-07 11:39:07.593659,2023-04-07,11:39,1158
2023-04-07 11:39:49.572198,2023-04-07,11:39,1158
2023-04-07 11:39:50.797429,2023-04-07,11:39,1158
2023-04-07 11:39:52.013330,2023-04-07,11:39,1158
2023-04-07 11:39:53.238517,2023-04-07,11:39,1158
2023-04-07 11:39:54.545100,2023-04-07,11:39,1158
2023-04-07 11:39:55.635082,2023-04-07,11:39,1158
2023-04-07 11:39:56.778658,2023-04-07,11:39,1158
2023-04-07 11:39:58.192665,2023-04-07,11:39,1158
2023-04-07 11:39:59.346763,2023-04-07,11:39,1158
2023-04-07 11:40:00.272391,2023-04-07,11:40,1158
2023-04-07 11:40:01.599283,2023-04-07,11:40,1158
2023-04-07 11:40:03.889438,2023-04-07,11:40,1158
2023-04-07 11:40:05.025279,2023-04-07,11:40,1158
2023-04-07 11:40:06.010260,2023-04-07,11:40,1158
